Producto,Calorias,Grasas,Grasas_Saturadas,Sal,Hidratos_Carbono,Azucares,Proteinas,Restaurante
CRUNCHY TACO SUPREME FRIJOLES,199.0,12.4,5.0,0.6,18.0,1.5,6.7,TacoBell
CRUNCHY TACO CARNE PICADA,167.0,10.6,3.6,0.8,9.7,0.5,10.0,TacoBell
CRUNCHY TACO POLLO ASADO,141.0,6.9,1.9,0.6,8.5,0.3,12.4,TacoBell
CRUNCHY TACO VEG,165.0,7.9,1.9,0.5,11.5,0.7,13.0,TacoBell
CRUNCHY TACO FRIJOLES,145.0,7.3,1.8,0.6,16.5,0.3,6.0,TacoBell
SOFT TACO SUPREME POLLO ASADO,248.0,15.3,7.9,1.0,16.8,1.9,12.3,TacoBell
SOFT TACO SUPREME VEG,222.0,11.7,6.1,0.9,15.6,1.8,14.7,TacoBell
SOFT TACO SUPREME FRIJOLES,246.0,12.6,6.2,0.8,18.6,2.1,15.2,TacoBell
SOFT TACO SUPREME ARROZ,226.0,12.0,6.1,0.9,23.6,1.8,8.3,TacoBell
SOFT TACO POLLO ASADO,194.0,10.2,4.7,1.0,15.2,0.8,11.6,TacoBell
SOFT TACO VEG,168.0,6.6,3.0,0.9,14.0,0.6,14.0,TacoBell
SOFT TACO FRIJOLES,192.0,7.5,3.0,0.7,17.1,1.0,14.6,TacoBell
SOFT TACO ARROZ,172.0,7.0,3.0,0.9,22.0,0.6,7.6,TacoBell
6 CRUNCHY TACOS VEG (UD),176.0,10.6,3.6,0.8,9.7,0.5,10.0,TacoBell
6 CRUNCHY TACOS FRIJOLES (UD),165.0,7.9,1.9,0.5,11.5,0.7,13.0,TacoBell
6 CRUNCHY TACOS ARROZ (UD),145.0,7.3,1.8,0.6,16.5,0.3,6.0,TacoBell
ICE CREAM TWISTS,173.0,8.1,0.6,0.3,24.1,1.5,1.7,TacoBell
KIT KAT CHOCADILLA,189.0,8.3,4.5,0.4,24.7,8.7,3.6,TacoBell
CONO BELL,4.0,24.0,6.0,0.0,0.0,0.0,0.0,TacoBell
COCA-COLA,1.0,0.0,0.0,0.02,0.0,0.0,0.0,TacoBell
COCA-COLA ZERO,0.3,0.0,0.0,0.02,0.0,0.0,0.0,TacoBell
NESTEA,19.0,0.0,0.0,0.03,4.5,4.5,0.0,TacoBell
FANTA NARANJA,32.0,0.0,0.0,0.0,7.8,0.0,0.0,TacoBell
FANTA LIMON,2.0,0.0,0.0,0.06,0.0,0.0,0.0,TacoBell
AQUARIUS,26.0,0.0,0.0,0.05,6.3,6.3,0.0,TacoBell
CERVEZA MAHOU,30.0,0.0,0.0,0.0,2.4,0.1,0.2,TacoBell
CERVEZA SIN,25.0,0.0,0.0,0.0,4.6,1.5,0.2,TacoBell
GRANIZADO MANDARINA,133.0,1.0,0.0,0.0,33.0,24.0,1.0,TacoBell
GRANIZADO MOJITO,133.0,1.0,0.0,0.0,33.0,24.0,1.0,TacoBell
