Producto;Calorias_Kcal;Proteinas;Grasas;Grasas_Saturadas;Hidratos_Carbono;Azucares;Sal
Peso;Porción;Porción;Porción;Porción;Porción;Porción;Porción
Superbox Double Krunch *;991,86;36,29;36,45;9,44;114,03;39,77;3,69
Superbox Twister *;1156,15;34,99;54,68;13,01;115,87;38,28;4,03
Menú Superbucket;2296,94;107,74;108,7;13,64;177,35;9,55;11,4
BBQ Bacon Cheese;525,27;35,41;17,35;5,25;44,46;4,79;3,84
Doble BBQ Bacon Cheese burger;771,6;61,41;32,47;4,17;54,83;7,81;6,59
Classic Burger;244,25;14,31;8,89;0,67;26,87;3,56;1,36
Double Krunch;442,9;27,59;17,18;1,34;44,84;5,47;2,76
Nueva Double Krunch BBC;460,44;30,53;20,01;1,35;38,14;8,35;3,36
Original Double Cheese burger;474,28;31,14;17,54;2,02;46,4;5,95;2,59
Kids burger;228,9;11,78;5,19;0,35;29,49;5,34;1,21
Kids Mayo Burger;256,65;11,91;8,49;0,62;28,83;3,56;1,23
Kids Cheese Burger;269,7;14,21;8,36;0,35;29,88;5;1,49
Kids Mayo Wrap;302,05;11,06;13,95;2,25;29,34;3,08;1,61
Kids Cheese Wrap;280;13,28;10,52;1,71;29,03;3,66;1,69
Coronel Original Burger;477,79;31,15;17,87;2,05;46,53;6,04;2,61
BBQ Cheese Burger;465,8;23,47;18,46;0,7;43,24;7,92;2,88
Double Krunch BBQ Cheese;522,25;27,54;19,47;1,45;50,55;8,06;3,11
La Pollizza;579,09;56,56;30,81;2,38;23,28;3,14;6,11
Pepinera *;573,15;33,32;27,79;2,66;46,01;6,22;3,82
Ensalada Original;154,1;13,1;4,61;0,56;13,9;1,73;1,02
Ensalada Emmental;350,82;12,7;15,25;5,92;36,3;1,73;1,26
Twister bbc;530,33;30,68;22,66;3,11;47,65;5,14;3,64
Twister;607,19;26,29;35,41;4,91;46,68;3,98;3,1
2 tiras de pechuga CR;192;15,2;6,72;0,7;10,32;0,05;1,33
2 tiras de pechuga OR;167,2;20;7,52;0,8;6,4;0,2;1,6
3 tiras de pechuga CR;288;22,8;10,08;1,06;15,48;0,05;1,99
3 tiras de pechuga OR;250,8;30;11,28;1,2;9,6;0,2;2,4
5 tiras de pechuga CR;480;38;16,8;1,76;25,8;0,05;3,32
5 tiras de pechuga OR;418;50;18,8;2;16;0,2;4
1 pieza pollo OR;233,77;19,4;13,58;3,88;8,73;0,05;1,64
2 piezas pollo OR;467,54;38,8;27,16;7,76;17,46;0,1;3,27
3 piezas pollo OR;701,31;58,2;40,74;11,64;26,19;0,2;4,91
1 pieza pollo cruji;305,1;24,07;17,97;3,62;11,75;0,3;1,7
2 piezas pollo cruji;610,2;48,14;35,93;7,23;23,5;0,4;3,39
3 piezas pollo cruji;915,3;72,21;53,9;10,85;35,26;0,5;5,09
2 alitas picantes;178,64;8,68;12,6;3,47;7,17;0,5;0,84
3 alitas picantes;267,96;13,02;18,9;5,21;10,75;0,5;1,26
5 alitas picantes;446,6;21,7;31,5;8,68;17,92;0,6;2,1
8 alitas picantes;714,56;34,72;50,4;13,89;28,67;0,7;3,36
Box del día;941,86;36,29;34,31;6,12;102,16;23,42;3,79
4 Emmental bites;390;14;23;9,7;31;0;1,5
Patatas fritas pequeñas(72gr);207,36;3,1;9,86;0,94;27,29;0;0,35
Patatas fritas medianas(92gr);264,96;3,96;12,6;1,2;34,87;0,05;0,44
Patatas fritas grandes(127gr);365,76;5,46;17,4;1,65;48,13;0;0,61
Patatas Rustic pequeñas(70 gr);188,3;2,1;8,33;0,7;24,5;0;0,63
Patatas Rustic grandes (90 gr);242,1;2,7;10,71;0,9;31,5;0;0,81
Kentucky Fries Cheese;624,1;22,62;33,59;6,74;62,38;0;3,22
Kentucky Fries Bacon;568,1;9,06;25,87;3,94;66,94;0;3,12
Kentucky Mayo Mex;665,3;8,98;40,19;5,62;59,54;0;2,65
Ensalada Side;25,15;1,2;0,49;0,1;3,32;1,28;0,11
Puré con Gravy;128,4;3,1;1,4;0;25,3;0;0
Mazorca;83,82;3;1,26;0,16;17,06;0;0
